Pin,Signal,Type,Bank,FPGA_Pin,Description,Carrier_Use
29,MIO24,I/O,PS,G14,PS MIO24,I2C1_SCL
30,GND,PWR,-,-,Ground,Ground
31,MIO25,I/O,PS,G13,PS MIO25,I2C1_SDA
32,MIO26,I/O,PS,H14,PS MIO26,PMU_GPO0
33,MIO27,I/O,PS,H13,PS MIO27,DP_AUX_OE
34,MIO28,I/O,PS,J15,PS MIO28,DP_AUX_IN
35,MIO29,I/O,PS,J14,PS MIO29,DP_AUX_OUT
36,GND,PWR,-,-,Ground,Ground
37,MIO30,I/O,PS,H12,PS MIO30,DP_HPD
38,MIO31,I/O,PS,G12,PS MIO31,USB0_RST
39,MIO32,I/O,PS,J13,PS MIO32,CAN1_TX
40,MIO33,I/O,PS,J12,PS MIO33,CAN1_RX
41,MIO34,I/O,PS,K14,PS MIO34,GEM3_RGMII_TX_CLK
42,GND,PWR,-,-,Ground,Ground
43,MIO35,I/O,PS,K13,PS MIO35,GEM3_RGMII_TXD0
44,MIO36,I/O,PS,L13,PS MIO36,GEM3_RGMII_TXD1
45,MIO37,I/O,PS,L12,PS MIO37,PCIE_RST
46,MIO38,I/O,PS,L14,PS MIO38,CAN0_TX
47,MIO39,I/O,PS,M15,PS MIO39,CAN0_RX
48,GND,PWR,-,-,Ground,Ground
49,MIO40,I/O,PS,M14,PS MIO40,GEM3_RGMII_TXD2
50,MIO41,I/O,PS,N15,PS MIO41,GEM3_RGMII_TXD3
51,MIO42,I/O,PS,N14,PS MIO42,UART0_TX
52,MIO43,I/O,PS,N13,PS MIO43,UART0_RX
53,MIO44,I/O,PS,P15,PS MIO44,GEM3_RGMII_TX_CTL
54,GND,PWR,-,-,Ground,Ground
55,MIO45,I/O,PS,P14,PS MIO45,GEM3_RGMII_RX_CLK
56,MIO46,I/O,PS,P13,PS MIO46,SDIO1_DATA0 (SD Card)
57,MIO47,I/O,PS,R15,PS MIO47,SDIO1_DATA1 (SD Card)
58,MIO48,I/O,PS,R14,PS MIO48,SDIO1_DATA2 (SD Card)
59,MIO49,I/O,PS,R13,PS MIO49,SDIO1_DATA3 (SD Card)
60,GND,PWR,-,-,Ground,Ground
61,MIO50,I/O,PS,T14,PS MIO50,SDIO1_CMD (SD Card)
62,MIO51,I/O,PS,T13,PS MIO51,SDIO1_CLK (SD Card)
63,MIO52,I/O,PS,U15,PS MIO52,USB0_CLK
64,MIO53,I/O,PS,U14,PS MIO53,USB0_DIR
65,MIO54,I/O,PS,V15,PS MIO54,USB0_DATA2
66,GND,PWR,-,-,Ground,Ground
67,MIO55,I/O,PS,V14,PS MIO55,USB0_NXT
68,MIO56,I/O,PS,W15,PS MIO56,USB0_DATA0
69,MIO57,I/O,PS,W14,PS MIO57,USB0_DATA1
70,MIO58,I/O,PS,Y15,PS MIO58,USB0_STP
71,MIO59,I/O,PS,Y14,PS MIO59,USB0_DATA3
72,GND,PWR,-,-,Ground,Ground
73,MIO60,I/O,PS,AB15,PS MIO60,USB0_DATA4
74,MIO61,I/O,PS,AB14,PS MIO61,USB0_DATA5
75,MIO62,I/O,PS,AC15,PS MIO62,USB0_DATA6
76,MIO63,I/O,PS,AC14,PS MIO63,USB0_DATA7
77,MIO64,I/O,PS,AD14,PS MIO64,GEM3_RGMII_RXD0
78,GND,PWR,-,-,Ground,Ground
79,MIO65,I/O,PS,AD15,PS MIO65,GEM3_RGMII_RXD1
80,MIO66,I/O,PS,AE14,PS MIO66,GEM3_RGMII_RXD2
81,MIO67,I/O,PS,AE15,PS MIO67,GEM3_RGMII_RXD3
82,MIO68,I/O,PS,AF14,PS MIO68,GEM3_RGMII_RX_CTL
83,MIO69,I/O,PS,AF15,PS MIO69,GEM3_RGMII_MDC
84,GND,PWR,-,-,Ground,Ground
85,MIO70,I/O,PS,AG14,PS MIO70,GEM3_RGMII_MDIO
86,MIO71,I/O,PS,AG15,PS MIO71,GEM3_RGMII_TX_CLK_R
87,MIO72,I/O,PS,AH14,PS MIO72,SDIO1_CD (SD Card Detect)
88,MIO73,I/O,PS,AH15,PS MIO73,SDIO1_WP
89,MIO74,I/O,PS,AJ14,PS MIO74,Reserved
90,GND,PWR,-,-,Ground,Ground
91,MIO75,I/O,PS,AJ15,PS MIO75,Reserved
92,MIO76,I/O,PS,AK14,PS MIO76,Reserved
93,MIO77,I/O,PS,AK15,PS MIO77,Reserved
94,PS_DONE,O,PS,-,PS Config Done,Reserved
95,PS_ERR,O,PS,-,PS Error,Reserved
96,GND,PWR,-,-,Ground,Ground
97,PS_POR_B,I,PS,-,Power On Reset,Power Reset
98,PS_SRST_B,I,PS,-,System Reset,System Reset
99,VCCO_65,PWR,-,-,BANK65 VCCO (1.8V),1.8V from Carrier
100,VCCO_66,PWR,-,-,BANK66 VCCO (1.8V),1.8V from Carrier
101,VCCO_65,PWR,-,-,BANK65 VCCO (1.8V),1.8V from Carrier
102,VCCO_66,PWR,-,-,BANK66 VCCO (1.8V),1.8V from Carrier
103,VCCO_65,PWR,-,-,BANK65 VCCO (1.8V),1.8V from Carrier
104,VCCO_66,PWR,-,-,BANK66 VCCO (1.8V),1.8V from Carrier
105,GND,PWR,-,-,Ground,Ground
106,GND,PWR,-,-,Ground,Ground
107,+12V,PWR,-,-,12V Power Input,12V Power
108,+12V,PWR,-,-,12V Power Input,12V Power
109,+12V,PWR,-,-,12V Power Input,12V Power
110,+12V,PWR,-,-,12V Power Input,12V Power
111,+12V,PWR,-,-,12V Power Input,12V Power
112,+12V,PWR,-,-,12V Power Input,12V Power
113,+12V,PWR,-,-,12V Power Input,12V Power
114,+12V,PWR,-,-,12V Power Input,12V Power
115,+12V,PWR,-,-,12V Power Input,12V Power
116,+12V,PWR,-,-,12V Power Input,12V Power
117,+12V,PWR,-,-,12V Power Input,12V Power
118,+12V,PWR,-,-,12V Power Input,12V Power
119,+12V,PWR,-,-,12V Power Input,12V Power
120,+12V,PWR,-,-,12V Power Input,12V Power
