Pin,Signal,Type,Bank,FPGA_Pin,Description,Carrier_Use
43,B65_L18_N,I/O,BANK65,L6,BANK65 Lane18 Negative,HDMI_IN_D20
44,B65_L19_P,I/O,BANK65,L7,BANK65 Lane19 Positive,HDMI_IN_D21
45,B65_L19_N,I/O,BANK65,L8,BANK65 Lane19 Negative,HDMI_IN_D22
46,B65_L20_P,I/O,BANK65,K5,BANK65 Lane20 Positive,HDMI_IN_D23
47,B65_L20_N,I/O,BANK65,K6,BANK65 Lane20 Negative,HDMI_IN_SCL
48,GND,PWR,-,-,Ground,Ground
49,B65_L21_P,I/O,BANK65,K7,BANK65 Lane21 Positive,HDMI_IN_SDA
50,B65_L21_N,I/O,BANK65,K8,BANK65 Lane21 Negative,HDMI_IN_HPD
51,B65_L22_P,I/O,BANK65,J5,BANK65 Lane22 Positive,Reserved
52,B65_L22_N,I/O,BANK65,J6,BANK65 Lane22 Negative,Reserved
53,B65_L23_P,I/O,BANK65,J7,BANK65 Lane23 Positive,Reserved
54,GND,PWR,-,-,Ground,Ground
55,B65_L23_N,I/O,BANK65,J8,BANK65 Lane23 Negative,Reserved
56,B65_L24_P,I/O,BANK65,H5,BANK65 Lane24 Positive,Reserved
57,B65_L24_N,I/O,BANK65,H6,BANK65 Lane24 Negative,Reserved
58,B66_L1_P,I/O,BANK66,G1,BANK66 Lane1 Positive,ETH_PL_RGMII_TX_CLK
59,B66_L1_N,I/O,BANK66,F1,BANK66 Lane1 Negative,ETH_PL_RGMII_TX_CTL
60,GND,PWR,-,-,Ground,Ground
61,B66_L2_P,I/O,BANK66,E1,BANK66 Lane2 Positive,ETH_PL_RGMII_TXD0
62,B66_L2_N,I/O,BANK66,D1,BANK66 Lane2 Negative,ETH_PL_RGMII_TXD1
63,B66_L3_P,I/O,BANK66,G2,BANK66 Lane3 Positive,ETH_PL_RGMII_TXD2
64,B66_L3_N,I/O,BANK66,E2,BANK66 Lane3 Negative,ETH_PL_RGMII_TXD3
65,B66_L4_P,I/O,BANK66,F2,BANK66 Lane4 Positive,ETH_PL_RGMII_RX_CLK
66,GND,PWR,-,-,Ground,Ground
67,B66_L4_N,I/O,BANK66,D2,BANK66 Lane4 Negative,ETH_PL_RGMII_RX_CTL
68,B66_L5_P,I/O,BANK66,G3,BANK66 Lane5 Positive,ETH_PL_RGMII_RXD0
69,B66_L5_N,I/O,BANK66,F3,BANK66 Lane5 Negative,ETH_PL_RGMII_RXD1
70,B66_L6_P,I/O,BANK66,E3,BANK66 Lane6 Positive,ETH_PL_RGMII_RXD2
71,B66_L6_N,I/O,BANK66,D3,BANK66 Lane6 Negative,ETH_PL_RGMII_RXD3
72,GND,PWR,-,-,Ground,Ground
73,B66_L7_P,I/O,BANK66,G4,BANK66 Lane7 Positive,ETH_PL_MDIO
74,B66_L7_N,I/O,BANK66,F4,BANK66 Lane7 Negative,ETH_PL_MDC
75,B66_L8_P,I/O,BANK66,E4,BANK66 Lane8 Positive,ETH_PL_RST_N
76,B66_L8_N,I/O,BANK66,D4,BANK66 Lane8 Negative,HDMI_OUT_CLK
77,B66_L9_P,I/O,BANK66,C1,BANK66 Lane9 Positive,HDMI_OUT_DE
78,GND,PWR,-,-,Ground,Ground
79,B66_L9_N,I/O,BANK66,B1,BANK66 Lane9 Negative,HDMI_OUT_HS
80,B66_L10_P,I/O,BANK66,C2,BANK66 Lane10 Positive,HDMI_OUT_VS
81,B66_L10_N,I/O,BANK66,B2,BANK66 Lane10 Negative,HDMI_OUT_D0
82,B66_L11_P,I/O,BANK66,C3,BANK66 Lane11 Positive,HDMI_OUT_D1
83,B66_L11_N,I/O,BANK66,B3,BANK66 Lane11 Negative,HDMI_OUT_D2
84,GND,PWR,-,-,Ground,Ground
85,B66_L12_P,I/O,BANK66,C4,BANK66 Lane12 Positive,HDMI_OUT_D3
86,B66_L12_N,I/O,BANK66,B4,BANK66 Lane12 Negative,HDMI_OUT_D4
87,B66_L13_P,I/O,BANK66,A1,BANK66 Lane13 Positive,HDMI_OUT_D5
88,B66_L13_N,I/O,BANK66,A2,BANK66 Lane13 Negative,HDMI_OUT_D6
89,B66_L14_P,I/O,BANK66,A3,BANK66 Lane14 Positive,HDMI_OUT_D7
90,GND,PWR,-,-,Ground,Ground
91,B66_L14_N,I/O,BANK66,A4,BANK66 Lane14 Negative,HDMI_OUT_D8
92,B66_L15_P,I/O,BANK66,A5,BANK66 Lane15 Positive,HDMI_OUT_D9
93,B66_L15_N,I/O,BANK66,B5,BANK66 Lane15 Negative,HDMI_OUT_D10
94,B66_L16_P,I/O,BANK66,A6,BANK66 Lane16 Positive,HDMI_OUT_D11
95,B66_L16_N,I/O,BANK66,B6,BANK66 Lane16 Negative,HDMI_OUT_D12
96,GND,PWR,-,-,Ground,Ground
97,B66_L17_P,I/O,BANK66,A7,BANK66 Lane17 Positive,HDMI_OUT_D13
98,B66_L17_N,I/O,BANK66,B7,BANK66 Lane17 Negative,HDMI_OUT_D14
99,B66_L18_P,I/O,BANK66,C5,BANK66 Lane18 Positive,HDMI_OUT_D15
100,B66_L18_N,I/O,BANK66,C6,BANK66 Lane18 Negative,HDMI_OUT_D16
101,B66_L19_P,I/O,BANK66,D5,BANK66 Lane19 Positive,HDMI_OUT_D17
102,GND,PWR,-,-,Ground,Ground
103,B66_L19_N,I/O,BANK66,D6,BANK66 Lane19 Negative,HDMI_OUT_D18
104,B66_L20_P,I/O,BANK66,E5,BANK66 Lane20 Positive,HDMI_OUT_D19
105,B66_L20_N,I/O,BANK66,E6,BANK66 Lane20 Negative,HDMI_OUT_D20
106,B66_L21_P,I/O,BANK66,F5,BANK66 Lane21 Positive,HDMI_OUT_D21
107,B66_L21_N,I/O,BANK66,F6,BANK66 Lane21 Negative,HDMI_OUT_D22
108,GND,PWR,-,-,Ground,Ground
109,B66_L22_P,I/O,BANK66,G5,BANK66 Lane22 Positive,HDMI_OUT_D23
110,B66_L22_N,I/O,BANK66,G6,BANK66 Lane22 Negative,HDMI_OUT_SCL
111,B66_CLK_P,I,BANK66,H7,BANK66 Clock Positive,PL_CLK_200M_P
112,B66_CLK_N,I,BANK66,H8,BANK66 Clock Negative,PL_CLK_200M_N
113,Reserved,NC,-,-,Reserved,NC
114,GND,PWR,-,-,Ground,Ground
115,Reserved,NC,-,-,Reserved,NC
116,Reserved,NC,-,-,Reserved,NC
117,Reserved,NC,-,-,Reserved,NC
118,Reserved,NC,-,-,Reserved,NC
119,Reserved,NC,-,-,Reserved,NC
120,GND,PWR,-,-,Ground,Ground
